Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/30,0.15
