Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/3,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/4,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/7,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/8,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/9,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/10,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/11,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/14,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/15,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/16,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/17,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/18,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/21,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/22,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/23,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/24,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/25,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/28,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/29,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/30,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/31,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/1,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/4,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/5,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/6,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/7,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/8,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/11,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/12,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/13,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/14,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/15,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/18,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/19,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/20,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/21,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/22,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/25,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/26,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/27,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/28,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/1/29,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/1,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2021/2/2,0.07
